date,us2yield,sp500,usd_index,us2yield_change,sp500_return,usd_index_change
2021-10-28,0.5,4596.42,113.4389,0.0,0.009829337739032606,-0.0016097263025228736
2021-10-29,0.48,4605.38,114.1349,-0.020000000000000018,0.0019493431844783693,0.006135461468684822
2021-11-01,0.5,4613.67,114.2067,0.020000000000000018,0.0018000686154020507,0.0006290801498927134
2021-11-02,0.46,4630.65,114.2847,-0.03999999999999998,0.0036803672564356127,0.0006829721898977681
2021-11-03,0.47,4660.57,114.3593,0.009999999999999953,0.00646129593037692,0.0006527557932076711
2021-11-04,0.41,4680.06,114.3558,-0.06,0.004181891914508462,-3.0605294016328166e-05
2021-11-05,0.39,4697.53,114.0732,-0.019999999999999962,0.0037328581257503046,-0.002471234515433407
2021-11-08,0.45,4701.7,113.8256,0.06,0.0008877005575269603,-0.002170536111900101
2021-11-09,0.41,4685.25,113.762,-0.040000000000000036,-0.0034987345002870374,-0.0005587495255899855
2021-11-10,0.51,4646.71,114.1484,0.10000000000000003,-0.008225815057894437,0.0033965647580034286
2021-11-12,0.53,4682.85,114.5144,0.020000000000000018,0.007777545833503874,0.00320635243244749
2021-11-15,0.53,4682.8,114.5876,0.0,-1.0677258507119092e-05,0.0006392209189411968
2021-11-16,0.54,4700.9,115.136,0.010000000000000009,0.003865208849406221,0.004785858155681666
2021-11-17,0.52,4688.67,115.0263,-0.020000000000000018,-0.0026016294752068125,-0.0009527862701499412
2021-11-18,0.52,4704.54,115.0678,0.0,0.00338475516511072,0.00036078705478659323
2021-11-19,0.52,4697.96,115.2187,0.0,-0.0013986489646171663,0.0013114007567711639
2021-11-22,0.63,4682.94,115.6481,0.10999999999999999,-0.0031971323723489764,0.003726825593414862
2021-11-23,0.6,4690.7,116.0118,-0.030000000000000027,0.0016570786727996278,0.0031448852164452923
2021-11-24,0.64,4701.46,116.2711,0.040000000000000036,0.002293900697124096,0.0022351174621892955
2021-11-26,0.5,4594.62,116.5103,-0.14,-0.02272485568312821,0.0020572610046691864
2021-11-29,0.51,4655.27,116.581,0.010000000000000009,0.013200221128189193,0.0006068133032015588
2021-11-30,0.52,4567.0,116.2071,0.010000000000000009,-0.01896130621854386,-0.003207212152923744
2021-12-01,0.56,4513.04,115.889,0.040000000000000036,-0.011815195971097037,-0.0027373542580444443
2021-12-02,0.63,4577.1,116.018,0.06999999999999995,0.014194423271231882,0.00111313411971814
2021-12-03,0.6,4538.43,116.2377,-0.030000000000000027,-0.00844858097922263,0.0018936716716371205
2021-12-06,0.65,4591.67,116.1538,0.050000000000000044,0.011730928977641941,-0.0007217968008658149
2021-12-07,0.7,4686.75,115.8555,0.04999999999999993,0.020707063007576743,-0.0025681467158198412
2021-12-08,0.68,4701.21,115.4418,-0.019999999999999907,0.0030852936469836223,-0.0035708274531637274
2021-12-09,0.7,4667.45,115.7784,0.019999999999999907,-0.007181129964413446,0.002915754951845928
2021-12-10,0.67,4712.02,115.5732,-0.029999999999999916,0.00954911139915815,-0.0017723513194171092
2021-12-13,0.66,4668.97,115.842,-0.010000000000000009,-0.009136209099282255,0.002325798714580829
2021-12-14,0.67,4634.09,116.2397,0.010000000000000009,-0.007470598440341258,0.003433124428100287
2021-12-15,0.69,4709.85,116.4219,0.019999999999999907,0.016348409288555077,0.0015674507074605604
2021-12-16,0.64,4668.67,115.7146,-0.04999999999999993,-0.00874337823922211,-0.0060753174445700164
2021-12-17,0.66,4620.64,115.791,0.020000000000000018,-0.010287726483131143,0.0006602451203219228
2021-12-20,0.65,4568.02,116.0092,-0.010000000000000009,-0.011388032826621375,0.0018844297052449388
2021-12-21,0.7,4649.23,116.1089,0.04999999999999993,0.017777943178882483,0.0008594145981526413
2021-12-22,0.68,4696.56,115.7485,-0.019999999999999907,0.010180180373954517,-0.0031039825543088817
2021-12-23,0.71,4725.79,115.5337,0.029999999999999916,0.006223704157936716,-0.0018557475906816334
2021-12-27,0.76,4791.19,115.4684,0.050000000000000044,0.01383895602639984,-0.0005652030533082053
2021-12-28,0.74,4786.35,115.4192,-0.020000000000000018,-0.0010101874482121298,-0.00042609060141129973
2021-12-29,0.75,4793.06,115.3678,0.010000000000000009,0.0014019033292591576,-0.00044533318546657874
2021-12-30,0.73,4778.73,115.283,-0.020000000000000018,-0.002989739331450192,-0.0007350404532286969
2022-01-03,0.78,4796.56,115.4101,0.050000000000000044,0.003731116844852167,0.0011025042720955724
2022-01-04,0.77,4793.54,115.3103,-0.010000000000000009,-0.000629617892823231,-0.0008647423405750976
2022-01-05,0.83,4700.58,115.137,0.05999999999999994,-0.01939276609770646,-0.001502901301965176
2022-01-06,0.88,4696.05,115.4046,0.050000000000000044,-0.0009637108612128298,0.0023241877068187478
2022-01-07,0.87,4677.03,115.0451,-0.010000000000000009,-0.0040502124125595396,-0.0031151271266482983
2022-01-10,0.92,4670.29,115.2216,0.050000000000000044,-0.0014410854751839564,0.0015341809429518793
2022-01-11,0.9,4713.07,114.8332,-0.020000000000000018,0.009160030747555226,-0.003370895734827406
2022-01-12,0.92,4726.35,114.355,0.020000000000000018,0.002817696321081753,-0.004164300916459696
2022-01-13,0.91,4659.03,114.177,-0.010000000000000009,-0.014243549462058636,-0.0015565563377202274
2022-01-14,0.99,4662.85,114.3825,0.07999999999999996,0.0008199131578892072,0.001799837095036505
2022-01-18,1.06,4577.11,114.7373,0.07000000000000006,-0.0183878958147915,0.003101873101217567
2022-01-19,1.04,4532.76,114.6109,-0.020000000000000018,-0.009689520243122751,-0.001101646979665749
2022-01-20,1.08,4482.73,114.4642,0.040000000000000036,-0.01103742532143781,-0.001279982968461102
2022-01-21,1.01,4397.94,114.6125,-0.07000000000000006,-0.01891481307149878,0.0012956015942102717
2022-01-24,0.99,4410.13,115.2034,-0.020000000000000018,0.0027717522294530283,0.005155633111571634
2022-01-25,1.02,4356.45,115.1654,0.030000000000000027,-0.012171976789799865,-0.0003298513759142363
2022-01-26,1.13,4349.93,115.0922,0.10999999999999988,-0.0014966314315554285,-0.0006356075696346553
2022-01-27,1.18,4326.51,115.978,0.050000000000000044,-0.005383994684971971,0.007696438160014196
2022-01-28,1.15,4431.85,116.0393,-0.030000000000000027,0.024347568825681787,0.0005285485178223581
2022-01-31,1.18,4515.55,115.566,0.030000000000000027,0.018886018254227865,-0.004078790547685118
2022-02-01,1.18,4546.54,115.3685,0.0,0.006862951356977565,-0.0017089801498710866
2022-02-02,1.16,4589.38,115.1538,-0.020000000000000018,0.009422549895085064,-0.0018609932520574635
2022-02-03,1.19,4477.44,114.9065,0.030000000000000027,-0.024391094221877574,-0.002147562650993806
2022-02-04,1.31,4500.53,115.1362,0.1200000000000001,0.005156964694110977,0.001999016591750724
2022-02-07,1.3,4483.87,115.0098,-0.010000000000000009,-0.003701786234065696,-0.0010978302219458724
2022-02-08,1.35,4521.54,115.0892,0.050000000000000044,0.008401224834796661,0.0006903759505711982
2022-02-09,1.36,4587.18,114.8232,0.010000000000000009,0.014517177775713597,-0.0023112507515909986
2022-02-10,1.61,4504.08,114.5527,0.25,-0.018115705073705524,-0.0023557956928564883
2022-02-11,1.5,4418.64,114.8413,-0.1100000000000001,-0.0189694676826343,0.0025193644497250034
2022-02-14,1.58,4401.67,115.1946,0.08000000000000007,-0.0038405482229827426,0.0030764193717764954
2022-02-15,1.58,4471.07,114.93,0.0,0.015766743077059386,-0.0022969826710625973
2022-02-16,1.52,4475.01,114.6886,-0.06000000000000005,0.0008812208263346832,-0.002100408944575083
2022-02-17,1.49,4380.26,114.6755,-0.030000000000000027,-0.021173137043269175,-0.00011422233770397305
2022-02-18,1.47,4348.87,114.7982,-0.020000000000000018,-0.007166241273349194,0.0010699757140801847
2022-02-22,1.56,4304.76,114.7002,0.09000000000000008,-0.010142864698185927,-0.0008536719216851729
2022-02-23,1.58,4225.5,114.6668,0.020000000000000018,-0.018412176288573612,-0.00029119391247789395
2022-02-24,1.54,4288.7,115.9419,-0.040000000000000036,0.014956809844988816,0.011120045209249918
2022-02-25,1.55,4384.65,115.2577,0.010000000000000009,0.022372746986266234,-0.005901231565120124
2022-02-28,1.44,4373.94,115.2224,-0.1100000000000001,-0.002442612295166069,-0.0003062702101465087
2022-03-01,1.31,4306.26,115.7962,-0.1299999999999999,-0.015473463284818578,0.004979934457189028
2022-03-02,1.5,4386.54,115.7623,0.18999999999999995,0.018642627244987553,-0.00029275572082676504
2022-03-03,1.53,4363.49,115.9495,0.030000000000000027,-0.005254711002293466,0.0016171067782861925
2022-03-04,1.5,4328.87,116.6503,-0.030000000000000027,-0.00793401612012401,0.006044010539070888
2022-03-07,1.55,4201.09,117.3278,0.050000000000000044,-0.02951809594651711,0.00580795763062758
2022-03-08,1.63,4170.7,117.6176,0.07999999999999985,-0.007233836932796112,0.00247000284672505
2022-03-09,1.68,4277.88,116.5961,0.050000000000000044,0.025698324022346508,-0.008684924705146035
2022-03-10,1.72,4259.52,116.7401,0.040000000000000036,-0.0042918454935622075,0.0012350327326555721
2022-03-11,1.75,4204.31,117.0192,0.030000000000000027,-0.012961554353542182,0.0023907808884864323
2022-03-14,1.87,4173.11,117.1506,0.1200000000000001,-0.00742095611408311,0.0011228926535131745
2022-03-15,1.85,4262.45,117.246,-0.020000000000000018,0.021408493905025416,0.0008143364182513491
2022-03-16,1.95,4357.86,116.8073,0.09999999999999987,0.022383840279651235,-0.003741705473960688
2022-03-17,1.94,4411.67,116.0467,-0.010000000000000009,0.012347803738532281,-0.006511579327661887
2022-03-18,1.97,4463.12,116.1378,0.030000000000000027,0.011662250349640857,0.0007850287858250926
2022-03-21,2.14,4461.18,115.9398,0.17000000000000015,-0.00043467350194470455,-0.00170487128221819
2022-03-22,2.18,4511.61,116.0824,0.040000000000000036,0.011304184094790948,0.0012299486457627573
2022-03-23,2.13,4456.24,116.005,-0.050000000000000266,-0.012272780670315009,-0.000666767744292085
2022-03-24,2.13,4520.16,115.9599,0.0,0.014343931206577842,-0.0003887763458471083
2022-03-25,2.3,4543.06,115.7921,0.16999999999999993,0.005066192347173759,-0.0014470519550292549
2022-03-28,2.35,4575.52,116.1911,0.050000000000000266,0.007144963967017803,0.0034458309331983905
2022-03-29,2.35,4631.6,115.5679,0.0,0.012256530405287291,-0.005363577761119509
2022-03-30,2.31,4602.45,115.0818,-0.040000000000000036,-0.006293721392175655,-0.004206185281553032
2022-03-31,2.28,4530.41,115.2218,-0.03000000000000025,-0.015652532890091164,0.0012165259841261378
2022-04-01,2.44,4545.86,115.4814,0.16000000000000014,0.0034102873691344016,0.002253045864584635
2022-04-04,2.43,4582.64,115.4112,-0.009999999999999787,0.0080908782936564,-0.0006078901017826377
2022-04-05,2.51,4525.12,115.73,0.07999999999999963,-0.012551716914267819,0.0027622969001275255
2022-04-06,2.5,4481.15,115.9995,-0.009999999999999787,-0.009716869386889204,0.00232869610299824
2022-04-07,2.47,4500.21,116.3512,-0.029999999999999805,0.004253372460194527,0.0030319096203001994
2022-04-08,2.53,4488.28,116.4176,0.05999999999999961,-0.0026509873983658894,0.000570685992065334
2022-04-11,2.5,4412.53,116.5401,-0.029999999999999805,-0.01687728929567678,0.001052246395734091
2022-04-12,2.39,4397.45,116.3866,-0.10999999999999988,-0.003417540503973915,-0.001317143197920645
2022-04-13,2.37,4446.59,116.2796,-0.020000000000000018,0.011174658040455254,-0.0009193498220585461
2022-04-14,2.47,4392.59,116.7558,0.10000000000000009,-0.012144137417661627,0.004095301325425904
2022-04-18,2.46,4391.69,116.8441,-0.010000000000000231,-0.000204890508788802,0.0007562793454372052
2022-04-19,2.61,4462.21,117.1324,0.1499999999999999,0.016057599693967584,0.0024673903089673654
2022-04-20,2.6,4459.45,116.7306,-0.009999999999999787,-0.0006185275905885579,-0.0034303062175794485
2022-04-21,2.68,4393.66,117.1432,0.08000000000000007,-0.01475294038502506,0.003534634448893348
2022-04-22,2.72,4271.78,118.0186,0.040000000000000036,-0.02773997077607282,0.007472904957351423
2022-04-25,2.63,4296.12,118.6271,-0.0900000000000003,0.005697858972138148,0.005155966940804113
2022-04-26,2.54,4175.2,118.9624,-0.08999999999999986,-0.02814632738377887,0.002826504230483584
2022-04-27,2.58,4183.96,119.4708,0.040000000000000036,0.002098103084882119,0.004273619227587844
2022-04-28,2.63,4287.5,120.0675,0.04999999999999982,0.02474689050564538,0.004994525859038257
2022-04-29,2.7,4131.93,119.4933,0.07000000000000028,-0.03628454810495618,-0.004782309950652652
2022-05-02,2.73,4155.38,119.8825,0.029999999999999805,0.005675313957399952,0.0032570863805752026
2022-05-03,2.78,4175.48,119.7043,0.04999999999999982,0.004837102743912469,-0.001486455487664906
2022-05-04,2.66,4300.17,119.5592,-0.11999999999999966,0.0298624349775356,-0.0012121536152001067
2022-05-05,2.71,4146.87,120.0068,0.04999999999999982,-0.03564975338184306,0.0037437520491940823
2022-05-06,2.72,4123.34,119.8577,0.010000000000000231,-0.005674159064547379,-0.001242429595656236
2022-05-09,2.61,3991.24,120.4972,-0.11000000000000032,-0.032037134944001844,0.005335493672913971
2022-05-10,2.62,4001.05,120.7742,0.010000000000000231,0.00245788276325154,0.0022988086030213406
2022-05-11,2.66,3935.18,120.3925,0.040000000000000036,-0.016463178415666024,-0.0031604432072412925
2022-05-12,2.56,3930.08,121.2796,-0.10000000000000009,-0.0012960017076728558,0.0073683991943021
2022-05-13,2.61,4023.89,120.8442,0.04999999999999982,0.02386974310955492,-0.0035900514183754284
2022-05-16,2.58,4008.01,120.6881,-0.029999999999999805,-0.003946429947140562,-0.0012917459009202936
2022-05-17,2.71,4088.85,119.8871,0.1299999999999999,0.020169610355263545,-0.0066369426646040175
